                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78658,                0.37655,                 0.9499,                0.97836,                0.99214,                0.99038,                 0.7561,                  1.003,                0.35442,                 1.0639,             0.00010556,             0.00010556,             0.00010556
                     36,                0.78157,                 0.3706,                0.94895,                0.98307,                0.98682,                0.98957,                0.75511,                 1.0243,                0.35806,                 1.0648,             9.9161e-05,             9.9161e-05,             9.9161e-05
                     37,                0.77089,                0.36347,                0.94476,                0.98078,                 0.9902,                0.98952,                 0.7506,                 1.0432,                0.36146,                 1.0707,             9.2766e-05,             9.2766e-05,             9.2766e-05
                     38,                0.76196,                0.35749,                0.94337,                0.97976,                0.99257,                0.98958,                0.75191,                 1.0265,                0.35435,                 1.0699,              8.637e-05,              8.637e-05,              8.637e-05
                     39,                0.75849,                0.35957,                0.94141,                0.97925,                0.99019,                0.99006,                0.75301,                 1.0285,                 0.3543,                 1.0632,             7.9975e-05,             7.9975e-05,             7.9975e-05
                     40,                0.75786,                0.35452,                0.94133,                0.97933,                0.99054,                0.99018,                0.75544,                 1.0307,                 0.3564,                 1.0676,             7.3579e-05,             7.3579e-05,             7.3579e-05
                     41,                0.74138,                0.31079,                0.93732,                0.98072,                0.98897,                0.98801,                0.74873,                 1.0343,                0.36045,                 1.0703,             6.7184e-05,             6.7184e-05,             6.7184e-05
                     42,                0.72084,                0.29984,                0.92575,                0.98046,                0.98638,                 0.9893,                0.74939,                 1.0244,                0.36009,                 1.0716,             6.0789e-05,             6.0789e-05,             6.0789e-05
                     43,                0.70506,                0.29323,                0.92294,                0.98041,                0.99225,                0.99101,                0.75418,                 1.0362,                0.35522,                 1.0743,             5.4393e-05,             5.4393e-05,             5.4393e-05
                     44,                0.69608,                0.28934,                0.92294,                0.97993,                0.99274,                0.99012,                0.75328,                 1.0337,                0.35582,                 1.0717,             4.7998e-05,             4.7998e-05,             4.7998e-05
                     45,                0.68749,                0.28222,                0.91431,                0.98003,                0.99156,                 0.9901,                0.75117,                 1.0367,                0.35278,                 1.0787,             4.1602e-05,             4.1602e-05,             4.1602e-05
                     46,                0.68277,                0.28273,                0.91311,                0.97829,                0.99167,                0.98901,                0.75389,                 1.0318,                0.35267,                 1.0807,             3.5207e-05,             3.5207e-05,             3.5207e-05
                     47,                0.66477,                0.27535,                0.90954,                0.97687,                0.99121,                0.98797,                0.75087,                 1.0389,                0.35377,                 1.0861,             2.8812e-05,             2.8812e-05,             2.8812e-05
                     48,                0.66631,                0.27749,                0.90912,                0.98001,                0.99063,                0.98949,                0.74921,                 1.0356,                0.35345,                 1.0804,             2.2416e-05,             2.2416e-05,             2.2416e-05
                     49,                0.66162,                 0.2748,                0.90747,                0.97963,                0.99101,                0.98955,                0.74825,                 1.0407,                0.35626,                 1.0834,             1.6021e-05,             1.6021e-05,             1.6021e-05
                     50,                0.65584,                0.27198,                0.90608,                0.97984,                0.99057,                0.99033,                0.75067,                 1.0382,                0.35547,                 1.0832,             9.6254e-06,             9.6254e-06,             9.6254e-06
