                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.58419,                0.36344,                0.87016,                0.98089,                0.95158,                0.98213,                0.85045,                0.54833,                0.31632,                0.83566,              0.0013268,              0.0013268,              0.0013268
                     37,                0.58125,                 0.3536,                0.87484,                 0.9762,                0.94977,                0.98282,                0.84311,                0.54438,                0.30366,                0.83487,               0.001307,               0.001307,               0.001307
                     38,                0.59201,                0.35612,                0.87271,                0.97885,                0.95368,                 0.9822,                0.85614,                0.53573,                0.29712,                 0.8325,              0.0012872,              0.0012872,              0.0012872
                     39,                0.56391,                0.34903,                0.87194,                 0.9868,                0.94737,                0.98344,                0.85316,                0.53344,                0.29247,                0.82501,              0.0012674,              0.0012674,              0.0012674
                     40,                0.58136,                0.34659,                0.86908,                0.96936,                   0.96,                0.98305,                0.85006,                0.52821,                0.29364,                0.82854,              0.0012476,              0.0012476,              0.0012476
                     41,                0.56951,                0.34283,                0.86896,                0.99133,                0.93474,                0.98437,                0.85748,                0.53306,                0.28964,                0.82891,              0.0012278,              0.0012278,              0.0012278
                     42,                0.56955,                0.35238,                0.86915,                0.99076,                0.95158,                0.98341,                0.85223,                0.53284,                0.28582,                0.82655,               0.001208,               0.001208,               0.001208
                     43,                0.56645,                0.35113,                 0.8645,                0.99148,                0.95368,                0.98639,                0.86084,                 0.5372,                0.28948,                 0.8248,              0.0011882,              0.0011882,              0.0011882
                     44,                0.55636,                0.33955,                0.86209,                0.99117,                0.94552,                0.98362,                0.86743,                0.53037,                0.27719,                0.82788,              0.0011684,              0.0011684,              0.0011684
                     45,                0.56278,                0.34341,                0.86239,                0.99182,                0.94526,                0.98317,                0.86466,                0.51587,                0.28214,                0.82091,              0.0011486,              0.0011486,              0.0011486
                     46,                 0.5461,                0.32585,                0.85875,                0.99333,                0.94092,                0.98388,                0.86251,                 0.5292,                 0.2694,                0.81955,              0.0011288,              0.0011288,              0.0011288
                     47,                0.55324,                0.33063,                0.86534,                0.97771,                   0.96,                0.98488,                0.86459,                0.51315,                0.27336,                0.82219,               0.001109,               0.001109,               0.001109
                     48,                 0.5672,                0.34753,                 0.8589,                0.99334,                0.94253,                0.98532,                0.87163,                0.51534,                0.26751,                0.82318,              0.0010892,              0.0010892,              0.0010892
                     49,                0.55481,                0.32717,                0.86442,                0.97851,                0.95845,                0.98448,                 0.8753,                 0.5022,                0.27299,                 0.8202,              0.0010694,              0.0010694,              0.0010694
                     50,                0.53918,                0.31995,                0.85536,                0.98387,                0.93895,                0.97883,                0.86383,                0.53179,                0.29598,                 0.8285,              0.0010496,              0.0010496,              0.0010496
                     51,                0.54676,                0.32534,                0.85752,                0.97445,                0.96355,                0.98619,                0.87339,                0.53068,                0.27467,                 0.8289,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.5494,                0.31994,                0.86038,                0.97858,                   0.96,                 0.9851,                0.87511,                 0.5146,                0.27168,                0.81974,                0.00101,                0.00101,                0.00101
                     53,                0.54238,                0.32095,                0.87018,                0.97825,                0.96632,                0.98627,                0.87055,                0.51338,                0.27318,                0.82202,              0.0009902,              0.0009902,              0.0009902
                     54,                0.53206,                0.31727,                0.86212,                0.96947,                0.96421,                 0.9842,                0.87605,                0.50712,                0.27522,                0.81729,              0.0009704,              0.0009704,              0.0009704
